DATE,DGS2
2007-07-01,4.819047619
2007-08-01,4.313043478
2007-09-01,4.011578947
2007-10-01,3.967727273
2007-11-01,3.3365
2007-12-01,3.117
2008-01-01,2.475714286
2008-02-01,1.973
2008-03-01,1.617
2008-04-01,2.047272727
2008-05-01,2.445714286
2008-06-01,2.773809524
2008-07-01,2.573181818
2008-08-01,2.42047619
2008-09-01,2.076190476
2008-10-01,1.612272727
2008-11-01,1.212777778
2008-12-01,0.820909091
2009-01-01,0.807
2009-02-01,0.975263158
2009-03-01,0.931363636
2009-04-01,0.927142857
2009-05-01,0.9295
2009-06-01,1.184090909
2009-07-01,1.019090909
2009-08-01,1.115238095
2009-09-01,0.956190476
2009-10-01,0.949047619
2009-11-01,0.803157895
2009-12-01,0.874545455
2010-01-01,0.928947368
2010-02-01,0.856842105
2010-03-01,0.958695652
2010-04-01,1.060454545
2010-05-01,0.8305
2010-06-01,0.724545455
2010-07-01,0.616666667
2010-08-01,0.520454545
2010-09-01,0.48
2010-10-01,0.376
2010-11-01,0.454
2010-12-01,0.618181818
2011-01-01,0.6145
2011-02-01,0.772631579
2011-03-01,0.697391304
2011-04-01,0.7345
2011-05-01,0.555238095
2011-06-01,0.410454545
2011-07-01,0.4065
2011-08-01,0.230434783
2011-09-01,0.211428571
2011-10-01,0.2805
2011-11-01,0.2535
2011-12-01,0.257142857
2012-01-01,0.2405
2012-02-01,0.278
2012-03-01,0.344545455
2012-04-01,0.291904762
2012-05-01,0.285
2012-06-01,0.291904762
2012-07-01,0.248095238
2012-08-01,0.268695652
2012-09-01,0.255263158
2012-10-01,0.277142857
2012-11-01,0.268
2012-12-01,0.257
2013-01-01,0.265238095
2013-02-01,0.267368421
2013-03-01,0.256
2013-04-01,0.232272727
2013-05-01,0.250454545
2013-06-01,0.3335
2013-07-01,0.340909091
2013-08-01,0.356363636
2013-09-01,0.404
2013-10-01,0.335454545
2013-11-01,0.303684211
2013-12-01,0.34
2014-01-01,0.393809524
2014-02-01,0.326842105
2014-03-01,0.399047619
2014-04-01,0.417142857
2014-05-01,0.389047619
2014-06-01,0.452380952
2014-07-01,0.506363636
2014-08-01,0.472380952
2014-09-01,0.566666667
2014-10-01,0.445454545
2014-11-01,0.527222222
2014-12-01,0.635454545
2015-01-01,0.5515
2015-02-01,0.618947368
2015-03-01,0.640454545
2015-04-01,0.54
2015-05-01,0.609
2015-06-01,0.688636364
2015-07-01,0.667727273
2015-08-01,0.697619048
2015-09-01,0.713333333
2015-10-01,0.644761905
2015-11-01,0.884736842
2015-12-01,0.982727273
2016-01-01,0.899473684
2016-02-01,0.7335
2016-03-01,0.875
2016-04-01,0.768095238
2016-05-01,0.816190476
2016-06-01,0.731363636
2016-07-01,0.6725
2016-08-01,0.737391304
2016-09-01,0.770952381
2016-10-01,0.843
2016-11-01,0.9795
2016-12-01,1.196666667
2017-01-01,1.2065
2017-02-01,1.201052632
2017-03-01,1.313043478
2017-04-01,1.241052632
2017-05-01,1.301818182
2017-06-01,1.342272727
2017-07-01,1.3725
2017-08-01,1.335217391
2017-09-01,1.3845
2017-10-01,1.54952381
2017-11-01,1.696666667
2017-12-01,1.844
2018-01-01,2.031904762
2018-02-01,2.175263158
2018-03-01,2.275714286
2018-04-01,2.384285714
2018-05-01,2.511818182
2018-06-01,2.533333333
2018-07-01,2.606666667
2018-08-01,2.635652174
2018-09-01,2.767894737
2018-10-01,2.860909091
2018-11-01,2.859
2018-12-01,2.676315789
2019-01-01,2.543333333
2019-02-01,2.504210526
2019-03-01,2.40952381
2019-04-01,2.344761905
2019-05-01,2.206363636
2019-06-01,1.814
2019-07-01,1.835
2019-08-01,1.571363636
2019-09-01,1.648
