DATE,DGS5
1989-01-01,9.1485
1989-02-01,9.270526316
1989-03-01,9.514090909
1989-04-01,9.295
1989-05-01,8.909545455
1989-06-01,8.292272727
1989-07-01,7.8265
1989-08-01,8.089565217
1989-09-01,8.1745
1989-10-01,7.966190476
1989-11-01,7.810952381
1989-12-01,7.7465
1990-01-01,8.11952381
1990-02-01,8.424736842
1990-03-01,8.600454545
1990-04-01,8.768
1990-05-01,8.735909091
1990-06-01,8.43047619
1990-07-01,8.330952381
1990-08-01,8.436521739
1990-09-01,8.513684211
1990-10-01,8.327727273
1990-11-01,8.0225
1990-12-01,7.7265
1991-01-01,7.7
1991-02-01,7.472631579
1991-03-01,7.772
1991-04-01,7.700909091
1991-05-01,7.701363636
1991-06-01,7.937
1991-07-01,7.911363636
1991-08-01,7.425
1991-09-01,7.136
1991-10-01,6.871363636
1991-11-01,6.617894737
1991-12-01,6.186190476
1992-01-01,6.242857143
1992-02-01,6.577894737
1992-03-01,6.945454545
1992-04-01,6.784285714
1992-05-01,6.6925
1992-06-01,6.482727273
1992-07-01,5.836818182
1992-08-01,5.596190476
1992-09-01,5.38
1992-10-01,5.60047619
1992-11-01,6.037894737
1992-12-01,6.075909091
1993-01-01,5.833684211
1993-02-01,5.428947368
1993-03-01,5.194782609
1993-04-01,5.132857143
1993-05-01,5.198
1993-06-01,5.216818182
1993-07-01,5.090952381
1993-08-01,5.025
1993-09-01,4.734761905
1993-10-01,4.707
1993-11-01,5.063
1993-12-01,5.146818182
1994-01-01,5.087
1994-02-01,5.395263158
1994-03-01,5.941304348
1994-04-01,6.524210526
1994-05-01,6.78
1994-06-01,6.695454545
1994-07-01,6.9095
1994-08-01,6.877826087
1994-09-01,7.083333333
1994-10-01,7.403
1994-11-01,7.7175
1994-12-01,7.776190476
1995-01-01,7.756
1995-02-01,7.365789474
1995-03-01,7.047391304
1995-04-01,6.86
1995-05-01,6.414545455
1995-06-01,5.928636364
1995-07-01,6.0085
1995-08-01,6.243913043
1995-09-01,6.0015
1995-10-01,5.862857143
1995-11-01,5.694285714
1995-12-01,5.5135
1996-01-01,5.362380952
1996-02-01,5.3795
1996-03-01,5.966190476
1996-04-01,6.300909091
