DATE,DGS10
1989-01-01,9.0915
1989-02-01,9.168947368
1989-03-01,9.357727273
1989-04-01,9.1755
1989-05-01,8.859090909
1989-06-01,8.277272727
1989-07-01,8.0185
1989-08-01,8.112608696
1989-09-01,8.1905
1989-10-01,8.007619048
1989-11-01,7.874285714
1989-12-01,7.836
1990-01-01,8.206666667
1990-02-01,8.473157895
1990-03-01,8.588636364
1990-04-01,8.7855
1990-05-01,8.758181818
1990-06-01,8.48
1990-07-01,8.471428571
1990-08-01,8.752608696
1990-09-01,8.893157895
1990-10-01,8.719545455
1990-11-01,8.392
1990-12-01,8.075
1991-01-01,8.092857143
1991-02-01,7.854736842
1991-03-01,8.11
1991-04-01,8.039090909
1991-05-01,8.067727273
1991-06-01,8.284
1991-07-01,8.272727273
1991-08-01,7.9
1991-09-01,7.65
1991-10-01,7.527272727
1991-11-01,7.417368421
1991-12-01,7.088571429
1992-01-01,7.032380952
1992-02-01,7.337894737
1992-03-01,7.542272727
1992-04-01,7.48047619
1992-05-01,7.392
1992-06-01,7.261818182
1992-07-01,6.844545455
1992-08-01,6.585714286
1992-09-01,6.415238095
1992-10-01,6.589047619
1992-11-01,6.873157895
1992-12-01,6.77
1993-01-01,6.6
1993-02-01,6.258947368
1993-03-01,5.975217391
1993-04-01,5.96952381
1993-05-01,6.0355
1993-06-01,5.962727273
1993-07-01,5.805238095
1993-08-01,5.677727273
1993-09-01,5.36
1993-10-01,5.334
1993-11-01,5.724
1993-12-01,5.774090909
1994-01-01,5.7505
1994-02-01,5.973157895
1994-03-01,6.482608696
1994-04-01,6.972105263
1994-05-01,7.183333333
1994-06-01,7.101363636
1994-07-01,7.298
1994-08-01,7.236086957
1994-09-01,7.457142857
1994-10-01,7.744
1994-11-01,7.955
1994-12-01,7.813809524
1995-01-01,7.7795
1995-02-01,7.469473684
1995-03-01,7.204782609
1995-04-01,7.062631579
1995-05-01,6.632727273
1995-06-01,6.168181818
1995-07-01,6.278
1995-08-01,6.48826087
1995-09-01,6.1975
1995-10-01,6.044761905
1995-11-01,5.93047619
1995-12-01,5.7115
1996-01-01,5.652380952
1996-02-01,5.8055
1996-03-01,6.268571429
1996-04-01,6.511363636
1996-05-01,6.736818182
1996-06-01,6.912
1996-07-01,6.865454545
1996-08-01,6.635454545
1996-09-01,6.832
1996-10-01,6.533636364
1996-11-01,6.203684211
1996-12-01,6.302380952
1997-01-01,6.579047619
1997-02-01,6.419473684
1997-03-01,6.6945
1997-04-01,6.885454545
1997-05-01,6.710952381
1997-06-01,6.493809524
1997-07-01,6.220454545
1997-08-01,6.298571429
1997-09-01,6.208571429
1997-10-01,6.029545455
1997-11-01,5.875
1997-12-01,5.808636364
1998-01-01,5.5445
1998-02-01,5.574736842
1998-03-01,5.647272727
1998-04-01,5.637619048
1998-05-01,5.6525
1998-06-01,5.496363636
1998-07-01,5.461363636
1998-08-01,5.341904762
1998-09-01,4.806666667
1998-10-01,4.53
1998-11-01,4.827368421
1998-12-01,4.645
1999-01-01,4.722105263
1999-02-01,4.998947368
