DATE,DGS1
1989-01-01,9.0475
1989-02-01,9.253157895
1989-03-01,9.570454545
1989-04-01,9.363
1989-05-01,8.977272727
1989-06-01,8.440909091
1989-07-01,7.8945
1989-08-01,8.183913043
1989-09-01,8.221
1989-10-01,7.990952381
1989-11-01,7.76952381
1989-12-01,7.723
1990-01-01,7.920952381
1990-02-01,8.111052632
1990-03-01,8.35
1990-04-01,8.4045
1990-05-01,8.316363636
1990-06-01,8.096190476
1990-07-01,7.940952381
1990-08-01,7.779130435
1990-09-01,7.763157895
1990-10-01,7.551363636
1990-11-01,7.3135
1990-12-01,7.0505
1991-01-01,6.644285714
1991-02-01,6.266842105
1991-03-01,6.396
1991-04-01,6.235909091
1991-05-01,6.130454545
1991-06-01,6.3585
1991-07-01,6.305909091
1991-08-01,5.778181818
1991-09-01,5.5725
1991-10-01,5.333636364
1991-11-01,4.889473684
1991-12-01,4.378095238
1992-01-01,4.150952381
1992-02-01,4.287368421
1992-03-01,4.634545455
1992-04-01,4.299047619
1992-05-01,4.1895
1992-06-01,4.165909091
1992-07-01,3.595909091
1992-08-01,3.471904762
1992-09-01,3.184285714
1992-10-01,3.302380952
1992-11-01,3.682105263
1992-12-01,3.711363636
1993-01-01,3.496315789
1993-02-01,3.385789474
1993-03-01,3.333043478
1993-04-01,3.244285714
1993-05-01,3.3635
1993-06-01,3.536363636
1993-07-01,3.474761905
1993-08-01,3.443636364
1993-09-01,3.356190476
1993-10-01,3.392
1993-11-01,3.579
1993-12-01,3.607272727
1994-01-01,3.5425
1994-02-01,3.865789474
1994-03-01,4.319130435
1994-04-01,4.815789474
1994-05-01,5.314285714
1994-06-01,5.267272727
1994-07-01,5.4765
1994-08-01,5.562173913
1994-09-01,5.762857143
1994-10-01,6.1145
1994-11-01,6.54
1994-12-01,7.136190476
1995-01-01,7.0505
1995-02-01,6.696842105
1995-03-01,6.43173913
1995-04-01,6.265789474
1995-05-01,5.997727273
1995-06-01,5.642272727
1995-07-01,5.594
1995-08-01,5.752608696
1995-09-01,5.62
1995-10-01,5.59047619
1995-11-01,5.432857143
1995-12-01,5.307
1996-01-01,5.087619048
1996-02-01,4.942
1996-03-01,5.342380952
1996-04-01,5.537727273
1996-05-01,5.636818182
1996-06-01,5.81
1996-07-01,5.850909091
1996-08-01,5.666818182
1996-09-01,5.833
1996-10-01,5.55
1996-11-01,5.423157895
1996-12-01,5.471904762
1997-01-01,5.612380952
1997-02-01,5.525263158
1997-03-01,5.7955
1997-04-01,5.988181818
1997-05-01,5.86952381
1997-06-01,5.691904762
1997-07-01,5.541818182
1997-08-01,5.564761905
1997-09-01,5.523809524
1997-10-01,5.456363636
1997-11-01,5.457222222
1997-12-01,5.525
1998-01-01,5.2445
1998-02-01,5.308421053
1998-03-01,5.389545455
1998-04-01,5.379047619
1998-05-01,5.44
1998-06-01,5.408636364
1998-07-01,5.358181818
1998-08-01,5.205238095
1998-09-01,4.710952381
1998-10-01,4.121428571
1998-11-01,4.525263158
1998-12-01,4.518636364
1999-01-01,4.514210526
1999-02-01,4.702631579
1999-03-01,4.781304348
1999-04-01,4.69
1999-05-01,4.849
1999-06-01,5.096818182
1999-07-01,5.031904762
1999-08-01,5.197727273
1999-09-01,5.251428571
1999-10-01,5.429
1999-11-01,5.5535
1999-12-01,5.842272727
2000-01-01,6.1215
2000-02-01,6.218
2000-03-01,6.222173913
2000-04-01,6.150526316
2000-05-01,6.326363636
2000-06-01,6.172727273
2000-07-01,6.0825
2000-08-01,6.183043478
2000-09-01,6.1255
2000-10-01,6.012380952
2000-11-01,6.091904762
2000-12-01,5.6025
2001-01-01,4.814761905
2001-02-01,4.684210526
2001-03-01,4.298636364
2001-04-01,3.9765
2001-05-01,3.781363636
2001-06-01,3.576190476
2001-07-01,3.617142857
2001-08-01,3.470434783
2001-09-01,2.824705882
2001-10-01,2.330454545
2001-11-01,2.182
2001-12-01,2.2155
2002-01-01,2.158571429
2002-02-01,2.232631579
2002-03-01,2.567
2002-04-01,2.475909091
2002-05-01,2.354090909
2002-06-01,2.1965
2002-07-01,1.960909091
2002-08-01,1.757272727
2002-09-01,1.715
2002-10-01,1.65
2002-11-01,1.491578947
2002-12-01,1.45
2003-01-01,1.364285714
2003-02-01,1.296315789
2003-03-01,1.24
2003-04-01,1.267142857
2003-05-01,1.181428571
2003-06-01,1.00952381
2003-07-01,1.116363636
2003-08-01,1.308571429
